dataset,motif,mds,N,depth,window
SRR1105737,HO_P53_HUMAN.H10MO.B,0.41228070175438597,228,10,255
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6127167630057804,346,10,255
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6017441860465116,344,10,255
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4189189189189189,222,10,255
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3966244725738397,237,10,255
SRR1105739,HO_P53_HUMAN.H10MO.B,0.62,350,10,255
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7938596491228069,228,10,980
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8410404624277457,346,10,980
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8430232558139535,344,10,980
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7747747747747747,222,10,980
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7552742616033755,237,10,980
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8457142857142858,350,10,980
SRR1105737,HO_P53_HUMAN.H10MO.B,0.33771929824561403,228,10,145
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4942196531791908,346,10,145
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4912790697674418,344,10,145
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3468468468468469,222,10,145
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3080168776371308,237,10,145
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5057142857142857,350,10,145
SRR1105737,HO_P53_HUMAN.H10MO.B,0.16666666666666666,228,10,40
SRR1105739,HO_P53_HUMAN.H10MO.B,0.24566473988439305,346,10,40
SRR1105739,HO_P53_HUMAN.H10MO.B,0.26744186046511625,344,10,40
SRR1105737,HO_P53_HUMAN.H10MO.B,0.17117117117117114,222,10,40
SRR1105737,HO_P53_HUMAN.H10MO.B,0.16455696202531644,237,10,40
SRR1105739,HO_P53_HUMAN.H10MO.B,0.24285714285714285,350,10,40
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7017543859649122,228,10,800
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8005780346820809,346,10,800
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7906976744186046,344,10,800
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6801801801801802,222,10,800
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6751054852320675,237,10,800
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8085714285714286,350,10,800
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4035087719298245,228,10,220
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5953757225433526,346,10,220
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5843023255813954,344,10,220
SRR1105737,HO_P53_HUMAN.H10MO.B,0.40540540540540543,222,10,220
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3755274261603376,237,10,220
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6085714285714285,350,10,220
SRR1105737,HO_P53_HUMAN.H10MO.B,0.30701754385964913,228,10,130
SRR1105739,HO_P53_HUMAN.H10MO.B,0.476878612716763,346,10,130
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4651162790697674,344,10,130
SRR1105737,HO_P53_HUMAN.H10MO.B,0.33783783783783783,222,10,130
SRR1105737,HO_P53_HUMAN.H10MO.B,0.28270042194092826,237,10,130
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4857142857142857,350,10,130
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2850877192982456,228,10,105
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4190751445086705,346,10,105
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4244186046511628,344,10,105
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3108108108108108,222,10,105
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2742616033755274,237,10,105
SRR1105739,HO_P53_HUMAN.H10MO.B,0.4171428571428572,350,10,105
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2412280701754386,228,10,75
SRR1105739,HO_P53_HUMAN.H10MO.B,0.3670520231213873,346,10,75
SRR1105739,HO_P53_HUMAN.H10MO.B,0.375,344,10,75
SRR1105737,HO_P53_HUMAN.H10MO.B,0.28378378378378377,222,10,75
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2405063291139241,237,10,75
SRR1105739,HO_P53_HUMAN.H10MO.B,0.3828571428571429,350,10,75
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7105263157894737,228,10,835
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8034682080924855,346,10,835
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7965116279069767,344,10,835
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6846846846846847,222,10,835
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6835443037974683,237,10,835
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8114285714285714,350,10,835
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4035087719298245,228,10,215
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5867052023121387,346,10,215
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5813953488372093,344,10,215
SRR1105737,HO_P53_HUMAN.H10MO.B,0.40540540540540543,222,10,215
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3713080168776372,237,10,215
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6057142857142858,350,10,215
SRR1105737,HO_P53_HUMAN.H10MO.B,0.35964912280701755,228,10,170
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5375722543352601,346,10,170
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5377906976744186,344,10,170
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3738738738738739,222,10,170
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3291139240506329,237,10,170
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5571428571428572,350,10,170
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7105263157894737,228,10,840
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8034682080924855,346,10,840
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7965116279069767,344,10,840
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6846846846846847,222,10,840
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6835443037974683,237,10,840
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8142857142857143,350,10,840
SRR1105737,HO_P53_HUMAN.H10MO.B,0.41228070175438597,228,10,260
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6127167630057804,346,10,260
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6017441860465116,344,10,260
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4189189189189189,222,10,260
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3966244725738397,237,10,260
SRR1105739,HO_P53_HUMAN.H10MO.B,0.62,350,10,260
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7324561403508771,228,10,880
SRR1105739,HO_P53_HUMAN.H10MO.B,0.815028901734104,346,10,880
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8168604651162791,344,10,880
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7117117117117117,222,10,880
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7046413502109705,237,10,880
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8228571428571428,350,10,880
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7807017543859649,228,10,975
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8410404624277457,346,10,975
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8401162790697675,344,10,975
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7657657657657657,222,10,975
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7468354430379747,237,10,975
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8457142857142858,350,10,975
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6885964912280702,228,10,790
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7976878612716763,346,10,790
SRR1105739,HO_P53_HUMAN.H10MO.B,0.7906976744186046,344,10,790
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6756756756756757,222,10,790
SRR1105737,HO_P53_HUMAN.H10MO.B,0.6708860759493671,237,10,790
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8028571428571428,350,10,790
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4254385964912281,228,10,320
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6242774566473989,346,10,320
SRR1105739,HO_P53_HUMAN.H10MO.B,0.622093023255814,344,10,320
SRR1105737,HO_P53_HUMAN.H10MO.B,0.44144144144144143,222,10,320
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4177215189873418,237,10,320
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6342857142857142,350,10,320
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7324561403508771,228,10,900
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8236994219653179,346,10,900
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8197674418604651,344,10,900
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7117117117117117,222,10,900
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7088607594936709,237,10,900
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8285714285714286,350,10,900
SRR1105737,HO_P53_HUMAN.H10MO.B,0.42105263157894735,228,10,315
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6242774566473989,346,10,315
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6191860465116279,344,10,315
SRR1105737,HO_P53_HUMAN.H10MO.B,0.44144144144144143,222,10,315
SRR1105737,HO_P53_HUMAN.H10MO.B,0.41350210970464135,237,10,315
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6342857142857142,350,10,315
SRR1105737,HO_P53_HUMAN.H10MO.B,0.25,228,10,80
SRR1105739,HO_P53_HUMAN.H10MO.B,0.3786127167630058,346,10,80
SRR1105739,HO_P53_HUMAN.H10MO.B,0.3866279069767442,344,10,80
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2882882882882883,222,10,80
SRR1105737,HO_P53_HUMAN.H10MO.B,0.2447257383966245,237,10,80
SRR1105739,HO_P53_HUMAN.H10MO.B,0.3857142857142857,350,10,80
SRR1105737,HO_P53_HUMAN.H10MO.B,0.75,228,10,935
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8294797687861272,346,10,935
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8255813953488372,344,10,935
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7297297297297297,222,10,935
SRR1105737,HO_P53_HUMAN.H10MO.B,0.729957805907173,237,10,935
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8371428571428572,350,10,935
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3771929824561404,228,10,185
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5606936416184971,346,10,185
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5523255813953488,344,10,185
SRR1105737,HO_P53_HUMAN.H10MO.B,0.3828828828828829,222,10,185
SRR1105737,HO_P53_HUMAN.H10MO.B,0.35443037974683544,237,10,185
SRR1105739,HO_P53_HUMAN.H10MO.B,0.5714285714285714,350,10,185
SRR1105737,HO_P53_HUMAN.H10MO.B,0.75,228,10,940
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8294797687861272,346,10,940
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8255813953488372,344,10,940
SRR1105737,HO_P53_HUMAN.H10MO.B,0.7387387387387387,222,10,940
SRR1105737,HO_P53_HUMAN.H10MO.B,0.729957805907173,237,10,940
SRR1105739,HO_P53_HUMAN.H10MO.B,0.8371428571428572,350,10,940
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4166666666666667,228,10,295
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6184971098265896,346,10,295
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6162790697674418,344,10,295
SRR1105737,HO_P53_HUMAN.H10MO.B,0.44144144144144143,222,10,295
SRR1105737,HO_P53_HUMAN.H10MO.B,0.41350210970464135,237,10,295
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6314285714285715,350,10,295
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4166666666666667,228,10,275
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6184971098265896,346,10,275
SRR1105739,HO_P53_HUMAN.H10MO.B,0.6104651162790697,344,10,275
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4324324324324325,222,10,275
SRR1105737,HO_P53_HUMAN.H10MO.B,0.4050632911392405,237,10,275
