antibody,length,ENC
H3K9me3_GM12878,7238.36191371,ENCFF001SUP
H3K27me3_keratinocyte,10931.5001218,ENCFF001TBY
H3K36me3_H7-hESC,314.440278795,ENCFF001XAN
H3K4me3_WI38,649.570930274,ENCFF001XKC
H3K36me3_endothelial cell of umbilical vein,364.860503782,ENCFF001XFB
H3K36me3_foreskin fibroblast,319.354625122,ENCFF001WWD
H3K9me3_H1-hESC,5204.22742156,ENCFF001SUW
H3K27me3_cardiac mesoderm,266.498081968,ENCFF001WZE
H3K4me3_fibroblast of dermis,2983.69122143,ENCFF001TBP
H3K27me3_keratinocyte,143.078007658,ENCFF001XHS
H3K9me3_CD14-positive monocyte,8576.34241992,ENCFF001TAN
H3K27me3_myotube,13393.8887854,ENCFF001SXX
H3K27me3_H1-hESC,9161.84534332,ENCFF001SUY
H3K4me3_fibroblast of villous mesenchyme,843.937792429,ENCFF001XFK
H2AFZ_CD14-positive monocyte,1261.64252825,ENCFF001TAI
H3K27me3_cardiac mesoderm,260.802058094,ENCFF001WZL
H3K4me3_retinal pigment epithelial cell,818.36602962,ENCFF001XEU
H3K9me3_keratinocyte,9254.2286816,ENCFF001TBW
H3K36me3_keratinocyte,328.834628211,ENCFF001XHT
H3K36me3_cardiac mesoderm,324.613544796,ENCFF001XAG
H3K4me3_cardiac mesoderm,591.494136659,ENCFF001WYR
H3K27me3_SK-N-SH,235.775988814,ENCFF001XJK
H3K36me3_HepG2,331.933653182,ENCFF001XCX
H3K4me1_A549,3583.96594192,ENCFF001SSS
H3K4me3_HeLa-S3,4410.41476118,ENCFF001SWA
H3K36me3_bronchial epithelial cell,309.158758284,ENCFF001XIU
H3K4me3_osteoblast,1965.29223572,ENCFF001TCV
H3K4me2_A549,2414.94487822,ENCFF001SST
H3K36me3_K562,9424.85328961,ENCFF001SZG
H3K9me3_fibroblast of lung,285.371362992,ENCFF001WUU
H3K4me3_GM12865,959.944619315,ENCFF001WXT
H3K36me3_bronchial epithelial cell,310.906545854,ENCFF001XIR
H3K4me3_mammary epithelial cell,808.021496791,ENCFF001XDS
H3K4me2_fibroblast of lung,2206.06561594,ENCFF001TCQ
H3K27me3_DND-41,4895.79949905,ENCFF001STX
H3K4me3_fibroblast of gingiva,997.513371312,ENCFF001WVK
H3K36me3_SK-N-SH,252.100268139,ENCFF001XJL
H3K27ac_A549,3601.63535255,ENCFF001SSZ
H3K4me2_K562,2086.08924537,ENCFF001SZI
H2AFZ_HepG2,11472.813347,ENCFF001SWH
H3K4me3_GM12875,502.811041709,ENCFF001WXZ
H3K9me3_DND-41,4098.69807925,ENCFF001STV
H3K4me3_HeLa-S3,378.67157381,ENCFF001XCQ
H2AFZ_DND-41,6306.95365677,ENCFF001STQ
H3K79me2_endothelial cell of umbilical vein,11307.1012609,ENCFF001SYP
H3K4me3_fibroblast of lung,896.172877467,ENCFF001WVB
H3K4me3_SK-N-MC,329.947031002,ENCFF001XJE
H3K9me3_K562,21534.6726654,ENCFF001SZN
H3K4me3_HepG2,2273.59026075,ENCFF001SWO
H3K4me3_fibroblast of pulmonary artery,993.876105084,ENCFF001XDZ
H3K79me2_osteoblast,12628.3324938,ENCFF001TCX
H3K4me3_keratinocyte,2457.19477685,ENCFF001TCC
H2AFZ_B cell,3706.81384494,ENCFF001STJ
H3K27me3_endothelial cell of umbilical vein,11281.5437706,ENCFF001SYK
H3K36me3_HeLa-S3,216.697375162,ENCFF001XCM
H3K27ac_B cell,7428.43405669,ENCFF001STM
H3K36me3_endothelial cell of umbilical vein,13953.3713911,ENCFF001SYL
H3K4me3_LNCaP clone FGC,698.144027244,ENCFF001XGX
H3K4me3_WI38,866.872335585,ENCFF001XJY
H3K4me3_Panc1,746.840959061,ENCFF001XIG
H3K79me2_keratinocyte,10880.7539687,ENCFF001TCD
H3K4me3_foreskin fibroblast,1076.57864263,ENCFF001XDF
H3K27me3_A549,18522.9792193,ENCFF001STC
H3K4me3_myotube,3597.65030001,ENCFF001SYB
H3K4me2_osteoblast,1888.99979448,ENCFF001TDF
H3K4me3_HEK293,895.806483595,ENCFF001XCD
H3K4me3_HFF-Myc,1086.02079158,ENCFF001XDH
H3K4me1_mammary epithelial cell,2149.89629283,ENCFF001SWZ
H3K36me3_GM06990,371.834994575,ENCFF001WXH
H3K27me3_bronchial epithelial cell,216.286873131,ENCFF001XIN
H3K27ac_fibroblast of lung,2932.57660712,ENCFF001TCM
H3K36me3_A549,18166.69793,ENCFF001STD
H3K4me3_BE2C,484.680143742,ENCFF001WVW
H3K4me3_SK-N-SH,1057.59433688,ENCFF001XJP
